Gene Symbol,Gene ID,Interaction Count,Organism Count
H2AC8,3012,2,1
H3-4,8290,2,1
HBEGF,1839,2,1
HBP1,26959,2,2
HDC,3067,2,1
HES1,3280,2,1
HEXB,3074,2,1
HEXIM2,124790,2,1
HHEX,3087,2,2
HLA-DMA,3108,2,2
HLA-DQA1,3117,2,2
HMBS,3145,2,1
HMGA1,3159,2,1
HMGB2,3148,2,1
HMGCS2,3158,2,2
HMGN3,9324,2,1
HNRNPA1,3178,2,2
HNRNPD,3184,2,1
HSD3B6,15497,2,1
HSF4,3299,2,2
HSP70,403612,2,1
HSP90B1,7184,2,2
HSPA2,3306,2,1
HSPA4,3308,2,2
HSPA4L,22824,2,2
HSPA6,3310,2,1
ID2,3398,2,2
IER3,8870,2,1
IFNGR1,3459,2,1
IL12B,3593,2,1
IL1RL1,9173,2,2
IL1RN,3557,2,1
IL5,3567,2,1
IL6ST,3572,2,1
IMMT,10989,2,1
INHA,3623,2,1
IP6K2,51447,2,2
IRF3,3661,2,2
ITGA5,3678,2,2
ITGAV,3685,2,2
ITPR1,3708,2,1
JUNB,3726,2,1
JUND,3727,2,1
KDM3A,55818,2,1
KIF15,56992,2,1
KIF16B,55614,2,1
KIF23,9493,2,1
KIFAP3,22920,2,1
KLC4,89953,2,1
KMT2A,4297,2,1
KRT1,3848,2,2
KRT19,3880,2,1
LGALS1,3956,2,1
LGALS9,3965,2,1
LGR5,8549,2,1
LHCGR,3973,2,1
LIF,3976,2,1
LINGO1,84894,2,1
LRMDA,83938,2,1
MAD1L1,8379,2,1
MAFF,23764,2,1
MALT1,10892,2,1
MAOB,4129,2,1
MAP2K1,5604,2,2
MAP2K6,5608,2,1
MAP3K1,4214,2,1
MAP3K4,4216,2,1
MAP3K7,6885,2,1
MAPK10,5602,2,2
MAPK13,5603,2,1
MAPT,4137,2,2
MAT1A,4143,2,2
MBD4,8930,2,2
MCM2,4171,2,1
MCM4,4173,2,1
MCM6,4175,2,1
MED26,9441,2,1
MGLL,11343,2,2
MGST1,4257,2,1
MIR125A,406910,2,2
MIR155,406947,2,1
MIR339,442907,2,2
MIS18BP1,55320,2,1
MKNK2,2872,2,1
MMP10,4319,2,1
MSX1,4487,2,2
MT1,17748,2,1
MTFR1,9650,2,1
MTUS1,57509,2,1
MUC1,4582,2,1
MYH1,4619,2,1
MYH3,4621,2,2
MYL9,10398,2,1
NAA15,80155,2,1
NAV2,89797,2,1
NCF2,4688,2,1
NDC80,10403,2,1
NDUFS1,4719,2,2
NEB,4703,2,1
NFAT5,10725,2,1
NFATC1,4772,2,1
NFE2,4778,2,1
NFKBIB,4793,2,2
NGF,4803,2,1
NME4,4833,2,1
NMT2,9397,2,1
NOX1,27035,2,2
NPM1,4869,2,1
NPPA,4878,2,1
NR1I3,9970,2,2
NR4A1,3164,2,2
NRP1,8829,2,1
NUMB,8650,2,2
OGG1,4968,2,1
OMA1,115209,2,1
ORC2,4999,2,1
OSBPL3,26031,2,1
OSBPL8,114882,2,1
OTC,5009,2,1
PA2G4,5036,2,1
PAN2,9924,2,1
PARK7,11315,2,1
PDK2,5164,2,1
PDK4,5166,2,2
PDS5B,23047,2,1
PFKFB3,5209,2,1
PFKP,5214,2,1
PFN1,5216,2,2
PGAM1,5223,2,1
PHF8,23133,2,1
PHGDH,26227,2,1
PHLDA1,22822,2,1
PHLDA2,7262,2,1
PI4KA,5297,2,1
PIDD1,55367,2,1
PIK3CB,5291,2,1
PIK3CG,5294,2,1
PKP2,5318,2,1
PKP4,8502,2,1
PLA2G2A,5320,2,1
PLAAT3,11145,2,1
PLEC,5339,2,1
PLK1,5347,2,1
PNKP,11284,2,2
PNPLA3,80339,2,2
POLB,5423,2,2
POLH,5429,2,1
POTEE,445582,2,1
PPARD,5467,2,1
PPIA,5478,2,1
PPID,5481,2,2
PPIL4,85313,2,1
PPM1D,8493,2,1
PPP1R13L,10848,2,1
PPP1R15A,23645,2,1
PPP1R3D,5509,2,1
PPP3R1,5534,2,1
PRDX6,9588,2,2
PRKAB1,5564,2,2
PRKACA,5566,2,1
PRKAR2A,5576,2,2
PRKCI,5584,2,2
PRKCQ,5588,2,1
PRKDC,5591,2,2
PROM1,8842,2,1
PSD4,23550,2,1
PSIP1,11168,2,1
PSME4,23198,2,2
PSRC1,84722,2,1
PTGDS,5730,2,2
PTGFRN,5738,2,1
PTPRU,10076,2,1
PTTG1,9232,2,1
PXDNL,137902,2,1
RAB3B,5865,2,1
RACK1,10399,2,1
RAD51,5888,2,1
RAD54B,25788,2,1
RAI14,26064,2,1
RASA1,5921,2,1
RASGRP1,10125,2,1
RBKS,64080,2,1
RBL1,5933,2,2
RBM12,10137,2,1
RBM3,5935,2,1
RBM38,55544,2,1
RECK,8434,2,2
RFC1,5981,2,1
RGN,9104,2,1
RGS5,8490,2,2
RLF,6018,2,1
RNF14,9604,2,1
