## Torsion are defined with the following atomIDs:
# dihed1: ai= 4079 aj= 2050 ak= 2061 al= 2065
# dihed2: ai= 2062 aj= 2063 ak= 2052 al= 4080
# dihed3: ai= 2048 aj= 2057 ak= 2058 al= 2064
# dihed4: ai= 2060 aj= 2059 ak= 2049 al= 4078
# dihed5: ai= 2069 aj= 2067 ak= 2053 al= 4081
# dihed6: ai= 2067 aj= 2069 ak= 2054 al= 4082
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
276 -178.863  -31.669   55.886   28.546  -14.877  168.407
277 -156.403  -33.736   49.051    1.732   31.002  179.860
278 -163.777  -38.487   40.168  -19.344    5.815  169.624
279  172.031  -35.491   33.811    7.582   -6.591 -172.846
280  157.456  -52.286   61.269   -4.269   -1.092  175.256
281 -174.045  -23.878   66.189    2.213  -10.943 -176.860
282 -172.644  -12.977   60.952   -6.317 -161.349  169.551
283 -172.773  -20.123   47.761  -12.226 -147.846  173.275
284 -172.838    0.519   55.542   -5.793 -159.325  171.394
285 -176.104  -31.769   41.672  -20.868  -17.484 -174.646
286 -165.188  -64.109   57.925  -24.932  157.078 -178.540
287  172.101  -15.047   39.782  -19.798 -142.079 -168.539
288 -165.892  -13.337   42.139   -4.208 -153.386 -178.052
289 -178.458    7.312   51.864    6.041 -151.532  160.392
290 -166.804  -14.237   35.477   16.501  -15.301 -168.569
291 -172.764  -18.096   23.973   15.034    3.233  167.020
292  170.227  -31.765   46.014    9.977   17.236  161.260
293 -151.669  -32.150   46.271    5.571   20.401  161.395
294 -177.274  -14.796   55.418    0.827   -6.608  163.505
295 -178.218   -7.992   39.922    3.132   -0.997  166.091
296  173.885  -45.948   57.243   25.928   13.568  169.113
297 -179.709  -28.739   48.878    4.335   -0.726  174.752
298  178.034  -36.097   34.809    7.533   25.500  157.801
299 -173.629  -31.515   66.001  -24.475   24.263  162.427
300 -171.024  -26.401   44.465   18.442   60.300  165.413
301 -179.223  -32.175   55.592  -14.147    4.024  158.273
302  173.791  -19.037   33.694  -14.678   19.919 -164.454
