  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      241        0.182        3.735            1      253.365       81.559      278.878
      242        0.250        3.770            1      254.760       67.595      277.513
      243        0.182        3.729            1      254.965       69.961      276.625
      244        0.221        3.761            1      252.431       77.900      276.760
      245        0.239        3.717            1      252.673       86.372      280.430
      246        0.208        3.693            1      252.143       68.047      273.963
      247        0.321        3.711            1      252.190       86.833      275.912
      248        0.256        3.734            1      254.055       70.973      276.681
      249        0.327        3.766            1      253.160       66.403      277.296
      250        0.185        3.696            1      253.322       72.247      271.240
      251        0.137        3.713            1      254.209       70.204      279.940
      252        0.212        3.734            1      253.223       68.227      281.017
      253        0.222        3.746            1      253.453       69.179      279.034
      254        0.192        3.731            1      252.677       62.005      274.746
      255        0.179        3.697            1      252.922       82.043      275.405
      256        0.243        3.729            1      254.344       94.397      277.597
      257        0.230        3.737            1      254.050       81.490      280.897
      258        0.183        3.696            1      252.955       70.555      277.786
      259        0.275        3.736            1      253.457       83.079      273.489
      260        0.158        3.704            1      252.316       76.151      274.348
      261        0.193        3.715            1      252.456       89.529      274.822
      262        0.172        3.699            1      253.507       74.417      280.156
      263        0.172        3.740            0      255.118       77.034      278.809
      264        0.252        3.680            1      253.084       70.209      274.920
      265        0.239        3.752            1      254.615       72.465      274.352
      266        0.120        3.719            1      254.849       72.046      279.952
      267        0.144        3.748            1      254.914       73.953      274.440
      268        0.209        3.704            1      253.653       64.179      278.247
      269        0.197        3.726            1      253.338       74.060      275.881
      270        0.214        3.731            1      253.592       63.112      275.195
      271        0.209        3.670            1      251.598       61.781      275.721
      272        0.150        3.700            1      252.827       67.543      276.180
      273        0.233        3.734            1      253.958       81.315      274.684
      274        0.211        3.749            1      253.479       87.721      277.137
      275        0.245        3.716            1      251.707       76.284      275.308
      276        0.242        3.745            1      252.977      101.282      276.250
      277        0.204        3.757            0      254.195       99.560      277.707
      278        0.240        3.767            1      252.764       85.130      274.591
      279        0.279        3.728            1      252.633       84.909      276.103
      280        0.148        3.734            1      254.915       75.276      276.858
      281        0.263        3.763            1      255.617       81.502      277.453
      282        0.109        3.742            1      254.896       81.558      277.890
      283        0.343        3.762            1      252.659      104.392      275.524
      284        0.312        3.724            1      251.461       91.796      275.721
      285        0.349        3.772            1      253.437       99.728      280.782
      286        0.411        3.768            1      253.736       99.421      275.769
      287        0.374        3.735            1      255.237      107.000      273.469
      288        0.389        3.727            1      252.253       90.151      275.049
      289        0.333        3.770            1      256.026       93.517      280.046
      290        0.278        3.746            1      254.169      100.658      275.098
      291        0.307        3.771            1      254.268       81.170      275.567
      292        0.252        3.743            1      255.107       98.135      274.861
      293        0.274        3.747            1      254.107       87.195      277.439
      294        0.296        3.747            1      254.192       91.813      280.381
      295        0.275        3.742            1      252.753       84.559      278.872
      296        0.269        3.720            1      253.648       80.363      274.886
      297        0.368        3.732            1      253.093       91.880      277.440
      298        0.289        3.745            1      254.381       96.321      272.942
      299        0.374        3.722            1      252.924       91.308      274.077
      300        0.197        3.696            1      253.340       89.566      275.086
      301        0.210        3.723            1      252.976       86.291      274.689
      302        0.351        3.726            1      251.867       96.279      273.671
      303        0.333        3.754            1      253.203       91.618      277.246
      304        0.492        3.715            1      250.904       79.877      274.983
      305        0.310        3.759            1      253.423      101.801      273.044
      306        0.281        3.768            1      253.889       74.529      275.780
      307        0.422        3.722            1      251.781       87.433      271.225
      308        0.293        3.769            1      253.826      101.975      274.116
      309        0.264        3.746            1      255.179       90.597      278.382
      310        0.383        3.720            1      253.097       93.340      278.119
      311        0.447        3.718            1      251.946      104.930      274.946
      312        0.267        3.686            1      252.594       81.258      271.454
      313        0.411        3.727            1      254.814       81.806      275.318
      314        0.290        3.720            1      251.790       93.918      272.683
      315        0.328        3.699            1      254.060       90.820      280.212
      316        0.269        3.740            1      251.250      102.290      273.441
      317        0.333        3.746            1      253.446       85.145      277.731
      318        0.296        3.733            1      252.449       82.415      271.248
      319        0.200        3.717            1      253.244       92.138      277.260
      320        0.345        3.715            1      252.788      104.641      276.093
      321        0.324        3.722            1      254.880      103.888      278.853
      322        0.265        3.742            1      254.340      108.739      276.202
      323        0.249        3.719            1      252.271      102.434      271.350
      324        0.268        3.744            1      253.645      122.128      278.646
      325        0.270        3.771            1      255.536       94.553      274.085
      326        0.198        3.716            1      252.734       98.815      276.509
      327        0.257        3.751            1      254.449      102.072      277.439
      328        0.228        3.736            1      252.112      100.310      278.022
      329        0.281        3.726            1      255.553      104.801      279.566
      330        0.339        3.713            1      253.489       98.419      279.140
      331        0.278        3.752            1      254.698      104.464      277.039
      332        0.236        3.754            1      253.016      115.992      275.182
      333        0.256        3.773            1      256.082      104.125      278.995
      334        0.326        3.734            1      252.790      111.063      273.831
      335        0.442        3.751            1      251.969       98.653      274.992
      336        0.164        3.729            1      254.052       99.062      276.888
      337        0.248        3.722            1      250.703       93.414      272.608
      338        0.379        3.741            1      254.372      106.080      278.722
      339        0.254        3.721            1      254.752      100.097      276.952
      340        0.186        3.756            1      255.468      117.091      274.446
      341        0.426        3.735            1      253.120      102.671      274.770
      342        0.264        3.755            1      251.779      108.153      273.433
      343        0.218        3.757            1      253.668      122.015      278.145
      344        0.394        3.746            1      252.111      107.361      271.643
      345        0.223        3.769            1      254.239      112.086      277.792
      346        0.326        3.697            1      252.232      110.449      277.431
      347        0.350        3.738            1      252.053      105.536      271.085
      348        0.366        3.754            1      251.678      114.800      272.109
      349        0.330        3.705            1      254.713       95.301      277.584
      350        0.251        3.746            1      251.928      105.225      273.601
      351        0.304        3.776            1      252.572      124.648      274.623
      352        0.366        3.719            1      252.249      114.315      273.648
      353        0.291        3.704            1      252.273      103.736      273.977
      354        0.291        3.731            1      254.911       87.227      277.740
      355        0.352        3.799            1      255.851       98.274      279.995
      356        0.315        3.742            1      253.954      102.513      272.890
      357        0.289        3.773            1      255.494       98.862      277.099
      358        0.372        3.739            1      250.782       98.971      273.182
      359        0.314        3.738            1      254.452      107.500      278.800
      360        0.306        3.717            1      253.365      117.481      274.501
      361        0.294        3.754            1      252.818      114.561      274.366
      362        0.270        3.714            1      251.315       94.626      273.858
      363        0.308        3.712            1      252.174      104.709      272.435
      364        0.355        3.716            1      253.209      109.600      277.924
      365        0.389        3.770            1      253.704      109.257      273.947
      366        0.197        3.726            1      253.383       95.386      274.464
      367        0.366        3.770            1      253.450      107.122      275.940
      368        0.252        3.777            1      254.739      116.220      277.443
      369        0.365        3.727            1      251.695      103.933      272.828
      370        0.265        3.699            1      252.762       98.319      273.369
      371        0.332        3.701            1      251.543      116.063      273.548
      372        0.276        3.708            1      251.719      116.295      274.209
      373        0.346        3.723            1      252.026      119.233      272.199
      374        0.353        3.773            1      254.040      106.462      274.149
      375        0.316        3.743            1      252.673      114.650      275.103
      376        0.350        3.733            1      254.174      117.355      275.352
      377        0.497        3.726            1      252.518      106.175      275.092
      378        0.370        3.789            1      255.434      116.176      278.197
      379        0.202        3.732            1      253.061      106.658      276.444
      380        0.265        3.687            1      251.822       99.187      274.219
      381        0.200        3.710            1      253.252      102.769      272.777
      382        0.346        3.738            1      251.486       95.706      273.836
      383        0.378        3.764            1      251.323      108.074      274.213
      384        0.396        3.723            1      252.793      106.370      277.485
      385        0.383        3.750            1      252.257       80.890      275.839
      386        0.176        3.707            1      254.202       81.222      281.933
      387        0.262        3.724            1      252.644       87.378      274.978
      388        0.357        3.726            1      253.684       93.931      276.661
      389        0.308        3.773            1      254.325      101.682      275.833
      390        0.327        3.746            1      253.495      119.788      274.006
      391        0.228        3.739            1      251.686      111.169      275.552
      392        0.280        3.713            1      253.038      111.665      279.216
      393        0.357        3.698            1      250.528      106.110      273.749
      394        0.341        3.694            1      252.331       97.293      278.997
